DateTime,Hs,Dir,Windx,Windy,peakdir,peakperiod,meanperiod
2023-06-27 08:00:00,1.1272047,69.750946,-6.3035035,1.2785906,75.0,6.6534595,3.8206103
2023-06-27 09:00:00,1.1256044,69.70268,-6.4354677,1.1327089,75.0,6.6534595,3.816896
2023-06-27 10:00:00,1.1247076,69.69928,-6.2381163,1.1618912,75.0,6.6534595,3.8168056
2023-06-27 11:00:00,1.1223809,69.653244,-6.040113,1.190956,75.0,6.6534595,3.8166897
2023-06-27 12:00:00,1.1209023,69.66496,-5.8413973,1.2198802,75.0,6.6534595,3.8192601
2023-06-27 13:00:00,1.1186502,69.647934,-5.8166995,1.7769554,75.0,6.6534595,3.8152761
2023-06-27 14:00:00,1.1174273,69.71472,-5.745293,2.321854,75.0,6.6534595,3.8132153
2023-06-27 15:00:00,1.1154447,69.72797,-5.6314545,2.8496046,75.0,6.6534595,3.8095639
2023-06-27 16:00:00,1.1147461,69.806015,-5.6919775,2.7932947,75.0,6.6534595,3.8121724
2023-06-27 17:00:00,1.1135411,69.80762,-5.75166,2.736566,75.0,6.6534595,3.8117676
2023-06-27 18:00:00,1.113446,69.85309,-5.8105035,2.679439,75.0,6.6534595,3.8132885
2023-06-27 19:00:00,1.1126593,69.79616,-5.599298,2.6828814,75.0,6.6534595,3.8222983
2023-06-27 20:00:00,1.1127844,69.77104,-5.3867927,2.6857145,75.0,6.6534595,3.8353713
2023-06-27 21:00:00,1.1121331,69.63788,-5.1728773,2.6878443,75.0,6.6534595,3.852059
2023-06-27 22:00:00,1.1122946,69.55156,-5.168483,2.7298663,75.0,6.6534595,3.8843203
2023-06-27 23:00:00,1.1121149,69.37213,-5.163856,2.771767,75.0,6.6534595,3.9093366
2023-06-28 00:00:00,1.1130422,69.25339,-5.1589985,2.8135438,75.0,6.6534595,3.931839
