datetime,height
2023-06-14 18:24:00,-0.12274639
2023-06-14 18:25:00,-0.1287329
2023-06-14 18:26:00,-0.13470714
2023-06-14 18:27:00,-0.14066872
2023-06-14 18:28:00,-0.14661722
2023-06-14 18:29:00,-0.15255222
2023-06-14 18:30:00,-0.15847334
2023-06-14 18:31:00,-0.1643802
2023-06-14 18:32:00,-0.17027234
2023-06-14 18:33:00,-0.17614937
2023-06-14 18:34:00,-0.18201093
2023-06-14 18:35:00,-0.18785658
2023-06-14 18:36:00,-0.19368595
2023-06-14 18:37:00,-0.19949864
2023-06-14 18:38:00,-0.2052942
2023-06-14 18:39:00,-0.21107233
2023-06-14 18:40:00,-0.21683256
2023-06-14 18:41:00,-0.22257452
2023-06-14 18:42:00,-0.22829784
2023-06-14 18:43:00,-0.23400211
2023-06-14 18:44:00,-0.23968695
2023-06-14 18:45:00,-0.24535197
2023-06-14 18:46:00,-0.25099677
2023-06-14 18:47:00,-0.25662097
2023-06-14 18:48:00,-0.26222423
2023-06-14 18:49:00,-0.26780614
2023-06-14 18:50:00,-0.27336633
2023-06-14 18:51:00,-0.27890438
2023-06-14 18:52:00,-0.28441995
2023-06-14 18:53:00,-0.28991267
2023-06-14 18:54:00,-0.29538217
2023-06-14 18:55:00,-0.30082807
2023-06-14 18:56:00,-0.30624998
2023-06-14 18:57:00,-0.31164756
2023-06-14 18:58:00,-0.31702045
2023-06-14 18:59:00,-0.32236826
2023-06-14 19:00:00,-0.32769066
2023-06-14 19:01:00,-0.33298728
2023-06-14 19:02:00,-0.33825776
2023-06-14 19:03:00,-0.3435017
2023-06-14 19:04:00,-0.3487188
2023-06-14 19:05:00,-0.3539087
2023-06-14 19:06:00,-0.35907102
2023-06-14 19:07:00,-0.36420545
2023-06-14 19:08:00,-0.3693116
2023-06-14 19:09:00,-0.3743892
2023-06-14 19:10:00,-0.37943783
2023-06-14 19:11:00,-0.38445717
2023-06-14 19:12:00,-0.3894469
2023-06-14 19:13:00,-0.39440668
2023-06-14 19:14:00,-0.39933616
2023-06-14 19:15:00,-0.40423504
2023-06-14 19:16:00,-0.40910295
2023-06-14 19:17:00,-0.4139396
2023-06-14 19:18:00,-0.41874462
2023-06-14 19:19:00,-0.42351776
2023-06-14 19:20:00,-0.42825863
2023-06-14 19:21:00,-0.43296695
2023-06-14 19:22:00,-0.4376424
2023-06-14 19:23:00,-0.4422846
2023-06-14 19:24:00,-0.4468934
2023-06-14 19:25:00,-0.45146832
2023-06-14 19:26:00,-0.45600915
2023-06-14 19:27:00,-0.46051556
2023-06-14 19:28:00,-0.46498725
2023-06-14 19:29:00,-0.4694239
2023-06-14 19:30:00,-0.47382528
2023-06-14 19:31:00,-0.47819102
2023-06-14 19:32:00,-0.4825209
2023-06-14 19:33:00,-0.4868146
2023-06-14 19:34:00,-0.4910718
2023-06-14 19:35:00,-0.49529225
2023-06-14 19:36:00,-0.49947563
2023-06-14 19:37:00,-0.50362176
2023-06-14 19:38:00,-0.5077303
2023-06-14 19:39:00,-0.51180094
2023-06-14 19:40:00,-0.5158335
2023-06-14 19:41:00,-0.51982766
2023-06-14 19:42:00,-0.52378315
2023-06-14 19:43:00,-0.5276997
2023-06-14 19:44:00,-0.53157717
2023-06-14 19:45:00,-0.5354151
2023-06-14 19:46:00,-0.5392134
2023-06-14 19:47:00,-0.5429718
